                              BAB III
             KAMUS ANGGAH-UNGGUH KRUNA
                        BALI – INDONESIA


       Berikut akan disajikan kosakata bahasa Bali lengkap dengan
anggah-ungguh kruna serta padanannya dalam bahasa Indonesia.
Pada kolom satu ditulis kruna andap (biasa), pada kolom dua ditulis
kruna alus singgih (jika ada), pada kolom tiga ditulis kruna alus sor
(kalau ada), pada kolom empat ditulis kruna alus mider (jika bentuk
alusnya hanya satu) atau ditulis kruna mider (jika kata-kata tersebut
tidak memiliki bentuk halus). Selanjutnya, pada kolom lima ditulis
kata bahasa Indonesianya.

 Kt.Andap    Kata Asi     Kata Aso      Ami/Mider      Kata BI
isep       tayub     sesep      -              hisap
isi        -         -          daging         isi
isit       lati      isit       -              gusi
itelun     -         -          tigang rhina   tiga hari
iyeg       -         -          rebat          ribut
iyeng      -         -          renga          rungu
iyis       -         -          iris           iris
iyur       -         -          ketah          heboh
jejeh      -         -          ajerih         takut
                                                                        51

jénggot        rawé          jénggot        -             jenggot
Jit            silit         jit            -             pantat
jriji          guli          jriji          -             jari
jrijin batis   guli cokor    jrijin batis   -             jari kaki
jrijin lima    guli tangan   jrijin lima    -             jari tangan
kaad           kaon          gedi           -             pergi
makaad         makaon        magedi         -             pergi
kaang          -             -              karang        karang
kaajum         -             -              kapuji        dipuji
kabar          -             -              gatra         kabar
kabar          -             -              orti          berita
kabeneng       -             -              katepet       kebetulan
kabisan        kawikanan kaduegan           -             kepintaran
kacamata       -             -              kasna         kacamata
kacing         cililingan    kacing         -             kelingking
kada           -             -              awin          sebab
kadaan         -             -              kawéntenan    keadaan
kadang         -             -              wargi         keluarga
kadén          -             -              sengguh       kira
kadung         -             -              kaduk         terlanjur
kadutan        -             -              sungklit      keris
kaja           -             -              kalér         utara
kajakangin     -             -              kalérkangin   timurlaut
kajakauh       -             -              wayabia       baratlaut
kakenéng       -             -              katibén       terkena
                                                                52

kalah        -           -           kasor        kalah
kalangen     -           -           kadalon      terpesona
kalés        beris       kalés       -            brewok
kalijani     -           -           kalimankin   harigini
kalung       kiratbau    kalung      -            rantai
kamatian     -           -           kalayuan     kematian
kamben       wastra      kamben      -            kain
kancut       lancingan   kancutan    -            kancut
kangen       kapiangen   kapingon    -            kangen
kanggo       -           -           kanggé       kanggo
kangin       -           -           purwa        timur
kanténan     suitra      kanténan    -            teman
kapah        -           -           arang        jarang
kapertama -              -           kapingsiki   kepertama
kapilih      -           -           kajudi       dipilih
kapingtelu   -           -           kapingtiga   ketiga
kapitui      -           -           yadiastun    walaupun
karangan     -           -           reriptan     karangan
karoan       -           -           majanten     pasti
kasar        -           -           kaon         jelek/kasar
kaselek      -           -           kepelek      kepepet
kasimpulan   -           -           pacutetan    simpulan
kasub        -           -           kajanaloka   terkenal
kasugihan    padruéan    paderbéan   -            kekayaan
kasur        -           -           tilam        kasur
                                                              53

katemu       -          -            kacunduk    ketemu
katrampiln   -          -            kawagedan   ketrampilan
katuju       -          -            jumujug     dituju
katuk        senggama   sawirin      -           setubuh
makatuk      makarma    masawiran    -           bersetubuh
katurunan    -          -            sentana     keturunan
kauh         pascima    kulon        -           barat
kauntendas   batok      kaun sirah   -           tempurung
kayang       kantos     kanti        -           hingga
kayang2      saterusa   satuuk       -           selamanya
kayeh        kabéji     kayeh        -           ke mandi
kayehan      -          -            béjian      permandian
kayu         -          -            taru        kayu
kéné         -          -            sapuniki    begini
kéngkén      -          -            sapunapi    bagaimana
kéto         sapunika   kénten       -           demikian
kéweh        -          -            méweh       sulit
keber        -          -            kepur       terbang
makeber      -          -            makepur     beterbangn
kebus        -          -            gerah       panas
kedas        -          -            resik       bersih
makedas      -          -            mareresik   bersih-bersih
kedék        ica        kedék        -           ketawa
makedékan    -          -            malelucon   bergurau
kedis        -          -            paksi       burung
                                                          54

kejang     -        -         genah          letak
ngejang    -        -         ngenahang      meletakkan
kejep      -        -         ajebos         sebentar
kejok      -        -         kirang         kurang
kejokan    -        -         kirangan       panjang
keleb      -        -         kelem          terbenam
kelet      -        -         sesek          sesak
kelian     -        -         manggala       kepala
kelih      anom     kelih     -              dewasa
kelihan    duuran   kelihan   -              lebih tua
kelod      -        -         daksina        selatan
kema       -        -         merika         ke sana
kemuh      -        -         kurah,         kumur,
makemuh    -        -         makurah        berkumur
kemulan    -        -         jatimula       memang
kena       -        -         keni           kena
kenanga    -        -         kapasang       dipasang
kenawan    -        -         tengen         kanan
keneh      kayun    manah     -              pikiran
kenyel     -        -         leson, leleh   payah, lelah
keras      -        -         rahat          keras
kerasang   -        -         bangetang      keraskan
keséla     -        -         lambon         ketela
kesuna     -        -         craban         bawang putih
ketil      -        -         sukil          sulit
                                                              55

ketis       -          -          sirat         percik
kiap        arif       kiap       -             kantuk
kikihan     -          -          parutan       parutan
kisid       -          -          késah         pindah
kisidang    -          -          késahang      pindahkan
kisidanga   -          -          kesahanga     dipindahkan
klambi      kuaca      klambi     -             baju
klénéng     -          -          genta,bajra   genta
klian       -          -          manggala      ketua
klungah     -          -          kasturi       kelapa muda
kobér       -          -          duaja         bendera
kohkohan    -          -          watuk         batuk
kolongan    kekulung   kolongan   -             krongkong
kondén      -          -          durung        belum
koné        -          -          kocap         konon
konkon      kénkén     tundén     -             suruh
konkona     kénkéna    tundéna    -             disuruh
kori        -          -          lawangan      pintu (pura)
krama       -          -          warga         warga
krana       santukan   duaning    -             karena
krarane     -          -          mawinan       sebabnya
kruna       -          -          kruna         kata
lingga      -          -          lingga        kata dasar
makruna     -          -          makruna       berbahasa
kuah        -          -          kancuh        kuah
                                                               56

kuang      -           -          kirang        kurang
kuangan    -           -          kirangan      kekurangan
kuang-     -           -          kurang-       kurang
lebih      -           -          langkung      lebih
kuku       naka        kuku       -             kuku
kulit      carma       kulit      -             kulit
kulkul     -           -          gendongan     kentongan
kumis      cerawis     kumis      -             kumis
makumis    macerawis makumis      -             berkumis
kumpi      kompiang    kumpi      -             moyang
kumpinné   kompiangé   kumpinné   -             moyangnya
kuna       -           -          purwa         lama
kuping     karna       kuping     -             telinga
kurenan    rabi        kurenan    -             isteri/suami
kurenan    marabine    kurenane   -             isterinya
kusir      -           -          serati        kusir
kutu       -           -          pépétan       kutu
kutus      -           -          asta, ulu     delapan
laad       -           -          pecak         mantan
labuh      runtuh      labuh      -             jatuh
lacur      -           -          tiwas         miskin
lais       -           -          laris         laris
lakar      -           -          pacang/jagi   akan
lakar      -           -          srana         bahan
laku       -           -          durus         laku/terjual
                                                                  57

lalah       -             -           pedes        pedas
lalung      -             -           ligas        lanjang
malalung    -             -           ngaligas     telanjang
lamis       -             -           lémés        crewet
lampah      -             -           kepur        ketombe
lamun       -             -           yéning       jika/kalau
lamunapa    -             -           lamupani     seberapa
lancar      -             -           antar        lancar
langgah     -             -           langgana     tidak sopan
langgia     purun         prasangga   -            berani
langit      -             -           akasa        angkasa
lantang     -             -           panjang      panjang
lantaran    -             -           wiwilan      penyebab
lantas      -             -           raris        lalu, lantas
lanus       -             -           antar        lancar
lanying     -             -           tajep        tajam
lapur       -             -           sadok        lapor
lapurang    -             -           sadokang     laporkan
lapuranga   -             -           kasadokang   dilaporkan
laut        -             -           raris        lalu, lantas
lawan       -             -           arepin       hadapi
lawar       -             -           anyang       lawar
nglawar     -             -           nganyang     melawar
lawas       -             -           riin         dahulu
layah       ilat, lidah   layah       -            lidah
                                                                   58

layah          luwé        seduk       -             lapar
léak           -           -           désti         liak
ngléak         -           -           nésti         menjadi liak
lék            -           -           anamika       jari manis
lén            -           -           tios          lain
lén désa       -           -           dura désa     lain desa
lén gumi       -           -           dura negari   luar negeri
lebih          -           -           langkung      lebih
lebihan        -           -           langkungan    lebihan
lebeng         -           -           rateng        masak
lega           lédang      lila        -             rela, iklas
legu           -           -           angkitan      nyamuk
lek, elek      -           -           kémad         malu
lekad          mijil       embas       -             lahir
palekadan      pamijilan   paembasan   -             kelahiran
leket          -           -           rumaket       akrab, intim
lelawah        -           -           ambana        kelelawar
lelipi, lipi   -           -           ula           ular
lemah          -           -           siang         siang
lemeng         -           -           lemeng        larut malam
lengar         sulah       lengar      -             botak
lengen         lungayan    lengen      -             lengan
lengis         -           -           minyak        minyak
lesu           -           -           kaleson       letih/lesu
leteh          -           -           letuh         kotor
                                                          59

liang       lédang     gargita   -          suka
lima        tangan     lima      -          tangan
limpa       ungsilan   limpa     -          limpa
linggah     -          -         jimbar     luas
linggahan   -          -         jimbaran   lebih luas
lingsir     -          -         soré       sore
lingsiran   -          -         soréan     sorean
linuh       -          -         lindu      gempa
linyok      -          -         piwal      ingkar
liu         -          -         akéh       banyak
liunan      -          -         akéhan     banyakan
liwat       -          -         lintang    lalu, lewat
lomba       -          -         lomba      perlombaan
luas        -          -         lunga      pergi
lued        -          -         tetes      tuntut
ngluedang   -          -         netesang   menuntut
luh         -          -         istri      perempuan
luih        -          -         becik      bagus, baik
luir        -          -         luir       berbagai
luiré       -          -         minakadi   antara lain
lumrah      -          -         ketah      lazim/biasa
lungsur     -          -         kirang     kurang
lus, elus   -          -         lukar      lepas
lutung      -          -         wenara     kera
luung       -          -         becik      baik/bagus
                                                           60

luungan     -          -         becikan      bagusan
maan        -          -         polih        dapat
mabo        -          -         mambu        bauk
macan       -          -         sardula      harimau
macelep     -          -         ngranjing    masuk
madak       -          -         mogi         semoga
dumadak     -          -         astungkara   semoga
madelokan   -          -         mawidara     berkunjung
madu        -          -         saskara      madu
madu        menyan     madu      -            madu
magedi      -          -         matilar      pergi
mai         -          -         meriki       kemari
mainang     -          -         merikiang    ke sinikan
makejang    -          -         samian       semua
makelo      -          -         sué, lami    lama
mako        -          -         seseban      tembako
mala        cédangga   cacad     -            cacat
maling      -          -         duratmaka    pencuri
malu        ajeng      arep      -            depan
mampuh      -          -         mrasida      mampu
manas       -          -         nanas        nenas
mandus      masiram    mandus    -            mandi
mani        -          -         bénjang      besok
manyi       -          -         ngampung     ngetam padi
mapan       santukan   duaning   -            karena
                                                                 61

mapunduh      -            -            mapupul     berkumpul
mara          -            -            wawu        baru
marep         majeng       mantuk       -           terhadap
marepan       -            -            mapadu      bertatap
masadu        -            -            masadok     melapor
masaih        -            -            sumaih      mirip
masakapan     makerab      makekalan    -           pelaminan
masaki        makarma      makaruh      -           kawin
masarakat     -            -            parajana    masyarakat
masi          -            -            taler       juga
masugi        maraup       masugi       -           cuci muka
mata          panyingakn   paningalan   -           mata
matakon       -            -            matekén     bertanya
matanai       surya        matanai      -           matahari
matatu        kanin        sida         -           luka
mati          mantuk       padem        -           meninggal
mati          séda         padem        -           meninggal
mati (siat)   lina         padem        -           tewas
mati          lebar        padem        -           wafat pdeta
mati          néwata       padem        -           wafat raja
matuhin       -            -            nyamén      mnyamai
matulung      -            -            ngwantu     membantu
mawinten      -            -            mapodgada   disucikan
mémé          biang        mémé         -           ibu
med           -            -            waneh       wadih
                                                        62

medang    -           -        miang      bulu padi
meka      -           -        cermi      cermin
melah     -           -        becik      baik, bagus
menang    -           -        jaya       menang
mendep    meneng      mendep       -      diam
menék     -           -        munggah    naik
mentik    -           -        embas      tumbuh
menyi     -           -        dekil      kotor
meranén   -           -        sidi       sakti, ampuh
mesuang   -           -        medalang   ngeluarkan
meték     -           -        ngwilang   menghitung
metén     sarén       metén        -      balé daja
metu      -           -        wetu       keluar
miik      -           -        arum       wangi
milu      -           -        milet      ikut
mindon    mingkalih   mondon       -      sepupu
mirib     menawi      minab    -          kira-kira
misan     mingsiki    misan        -      sepupu
mokoh     ébuh        mokoh        -      gemuk
momo      angkara     momo         -      rakus
mua       prarai      mua          -      wajah
muah      miwah       lan      -          dan
muani     -           -        lanang     laki-laki
mudah     -           -        murah      murah
mulih     mantuk      budal        -      pulang
                                                           63

muncuk     tungtung      agra      -           ujung
munyi      -             -         suara       suara
murid      -             -         siswa       siswa
musuh      ripu, satru   meseh     -           musuh
nah        -             -         inggih      iya
namiu      -             -         nyembrama   menjamu
nampi      -             -         nampenin    menerima
nanang     aji, ajung    bapak     -           bapak, ayah
nanging    -             -         kémaon      tetapi
nangken    -             -         nyabran     setiap
napkala    -             -         padgata     sewaktu-2
nasi       rayunan       ajengan   -           nasi
natah      -             -         natar       halaman
nau        seneng        gargita   -           senang
nawang     -             -         uning       tahu
negak      malinggih     negak     -           duduk
negara     -             -         panegara    negara
nem        -             -         nenem       enam
nemdasa    -             -         nemdasa     enam puluh
nemu       manggih       cunduk    -           nemui
nemuang    -             -         mangguhin   menemui
nengil     meneng        mendep    -           diam
nepukin    manggihin ngaton        -           melihat
ngadep     -             -         ngadol      menjual
ngadilin   -             -         nepasin     mengadili
                                                             64

ngajak      -           -          ngiring       mengajak
ngalahin    -           -          ninggalin     meningalkan
ngamaang    ngicén      ngwéhin    -             memberi
ngamaluin   -           -          ngariinin     mendahului
ngancan     -           -          sayan         semakin
ngangsan    -           -          sayan         semakin
nganteg     -           -          ngantos       sampai
ngantén     -           -          mawiwaha      kawin
ngantén     marabian    masomah    -             kawin
ngawirang -             -          pramabéla     membela
ngeb        ajerih      jejeh      -             ketakutan
ngedil      -           -          sering        sering
ngeh        -           -          renga         perhatian
ngeling     nangis      ngeling    -             menangis
ngenah      katon       makanten   -             kelihatan
ngenceh     mawarih     manyuh     -             kencing
ngentah     -           -          kumat         kambuh
ngentut     ngampru     ngentut    -             kentut
ngidih -                           nunas-        minta
            -           -
pelih                              ampura        maaf
ngidam      ngrempini   ngidam     -             mengidam
ngidih      ngedih      nunas      -             meminta
nginep      mererep     nginep     -             menginap
ngisidang   -           -          ngingsirang   mmindahkan
ngiwasin    nyuryanin   ngantenang -             melihat
                                                                65

nglawan     -           -           ngarepin       melawan
ngléwa      -           -           lénga          lengah
ngomong     mabaos      matur       -              berbicara
ngomong     ngandika    mapajar     -              berbicara
ngon        -           -           angob          kagum
ngorahin    nganikain   ngorahin    -              ngasitahuu
ngoyong     jenek       magenah     -              tinggal
ngranang    -           -           mawinan        menyebabkan
ngrépotin   -           -           ngobetin       merepotkan
ngresepin   -           -           nelebin        memahami
ngucap      mojar       ngucap      -              mengucapkan
nguduhin    nitahang    ngorahin    -              menyuruh
nguduhin    nitahang    ngorahin    -              memrintah
ngulungin   brunaha     karuron     -              keguguran
ngumbah     ngwajikin   ngwangsuh   -              membasuh
nibakang    -           -           niwakang       menimpakan
ningalin    nyingakin   ngantenang -               melihat
ningeh      mireng      miragi      -              mendengar
nolih       nyingakin   ngeton      -              melihat
nongos      jenek       magenah     -              tinggal
nu, enu     -           -           kari, kantun   masih
nuju        ri nuju     -           nemonin        pada saat
numitis     nyrawadi    numateng    -              menitis
nundén      nganikain   ngénkén     -              menyuruh
nungkak     -           -           mandeg         mangkrak
                                                               66

nusa        dwipa      pulo         -             pulau
nuut        -          -            nginutin      mengikuti
nyadia      -          -            misadia       bersedia
nyadin      -          -            ngega         percaya
nyag        -          -            brasta        hancur
nyai        ratu,déwa, luh, embok   -             anda
            gusti (prp) mémé                      (wanita)
nyak        kayun       misadia     -             mau
nyama       sameton    nyama        -             kerabat
nyakan      ngrateng   nyakan       -             memasak
nyalah      -          -            nyalit        percuma
nyampat     -          -            nyapuh        menyapu
nyanan      -          -            malih jebos   nantian
nyandang    -          -            kapatut       pantas
nyapa       -          -            nyanggra      menyapa
nyawab      -          -            nyawis        menjawab
nyautin     -          -            nyaurin       menyahuti
nyén        -          -            sira          siapa
nyerit      ndulamé    nyerit       -             berteriak
nyiarang    -          -            nyobyahang    menyiarkan
nyidang     -          -            prasida       bisa/dapat
nyilih      -          -            nyelang       meminjam
nylidikin   -          -            nyelehin      menyelidiki
nyonyo      susu       nyonyo       -             payudara
nyuh        -          -            kelapa        kelapa
                                                              67

nyumunin   -         -            ngawitin      memulai
nyumunin   -         -            ngwawanin     mengulangi
nyurud     -         -            marid         mugar sajen
odah       -         -            lingsir       tua
odal       mijil     embas        -             lahir
odalan     -         -            pamijilan     kelahiran
ojog       -         -            jujug         datangi
ngojog     -         -            nyujug        mendatangi
ombé       -         -            biuh          heboh
ombéh      -         -            akéh          banyak
oneng      -         -            suka          hobi
onya       -         -            sami          semua
onyang     -         -            samian        semuanya
onyéd      -         -            raya          reyot
oop        -         -            wantu         bantu
oopina     -         -            kawantu       dibantu
ootin      -         -            tanganin      angkatkan
olas       lédang    olas         -             kasihan
omong      baos      pajar/atur   -             bicara
opak       dukain    opak         -             marahi
orahang    baosang   pajarang     -             katakan
orahin     nikain    orahin       -             suruh
oton       odalan    otonan       -             hari lahir
oyong      meneng    ngoyong      -             diam
orta       -         -            orti, gatra   berita
                                                          68

otonan    -           -          odalan     hari lahir
paa       pupu        paa        -          paha
pabaan    siwaduara   wunwunan   -          hulu kepala
pabaang   paica       aturan     -          pemberian
pabalih   -           -          tonton     tonton
pabinan   -           -          pabihan    pangkuan
pabuan    canangan    pabuan     -          kotak sirih
paca      -           -          wacén      baca
pacana    -           -          kawacén    dibaca
maca      -           -          ngwacén    membaca
pada      -           -          pateh      sama
padang    -           -          trena      rumput
padi      -           -          pantun     padi
padidi    praragan    néwék      -          sendiri
padu,     -           -          centok,    lomba,
mapadu    -           -          macentok   berlomba
paes      widuh       paes       -          ludah
pagaé     -           -          pakaryan   pekerjaan
pageh     -           -          langgeng   kukuh, setia
pagpag    pendak      pagpag     -          jemput
paimbuh   -           -          paweweh    penambah
pait      -           -          tikta      pahit
pajalan   -           -          pamargin   perjalanan
pajeng    -           -          tedung     payung
pakéweh   -           -          pakéwuh    kesulitan
                                                                69

paksa       -            -          parikosa      paksa
pala        bahu         pala       -             bahu
palas       -            -          pasah         pisah
palemahan   -            -          widangan      wilayah
paling      -            -          murang        sesat
paling      -            -          sisu          bingung
paling      -            -          pinih         paling
pamesuan    pamedalan    lebuh      -             pintu luar
pamor       -            -          apuh          kapur
panah       -            -          astra         panah
panak       oka, putra   pianak     -             anak, putra
pancoran    -            -          béji ngecor   pancuran
pang        -            -          ping          kali
pangacep    patitis      pangapti   -             harapan
panganggo   -            -          busana        pakaian
pangangon   -            -          gopala        pengembala
pangayah    -            -          ancangan      pelayan
pang                                ping          dengan
            -            -
sanget                              banget        keras
pangen      -            -          piangen       penyesalan
pangidih    pangedih     pinunas    pangapti      permintaan
pang telu   -            -          ping tiga     tiga kali
pangoréng   -            -          keté-keté     kuali
pangraos    -            -          pamaos        juru bicara
pangraos    -            -          narawakia     narasumber
                                                                  70

panitia     -            -           prawartaka    panitia
panjak      -            -           kaula         rakyat
panjak      -            -           wadua         rakyat
pantes      -            -           manut         pantas
panua       -            -           panglingsir   tetua
panuntun    -            -           panuntun      pembina
panutup     -            -           pamuput       penutup
panyumu     -            -           pangawit      pembuka
panyuud     -            -           pamuput       terakhir
paon        parantenan   pawaregan   -             dapur
papa        -            -           tiwas         miskin
papineh     pikayun      manah       -             pikiran
parus       -            -           deres         deras
pasal       -            -           paos          pasal
paserta     -            -           pamilet       peserta
pasih       -            -           segara        laut
pasisi      -            -           tepisiring    pantai
pasti       -            -           janten        pasti, tentu
pat         -            -           papat         empat
patangkil   -            -           pamedek       hadirin pura
patemon     -            -           pararem       pertemuan
patinget    -            -           pakéling      pengingatan
patuh       -            -           pateh         sama
patulung    -            -           wantuan       pertolongan
paum        -            -           parum         rapat
                                                              71

paweweh      -         -           pawuwuh      tambahan
payas,       -         -           iyas,        hias
mapayas      -         -           maiyas       berhias
payu         -         -           durus        jadi
pangléakan   pangiwa   panéstian   pangiwa      ilmu hitam
panyroan     -         -           wangjero     abdi wanita
parekan      -         -           ceraka       abdi laki
payasan      -         -           uperengga    perhiasan
pék/teli     serira    pék/teli    -            pepek
péléngan     pepelis   péléngan    -            pelipis
pecéh        pelis     peceh       -            tai mata
pedas        -         -           tatas        persis tahu
pedeman      pamereman pasaréan    -            tempat tidur
pedih        duka      pedih       -            marah
pedoman      -         -           pangancan    pegangan
pegat        -         -           putung       putus
pejang       -         -           genahang     letakkan
pejuh        kama      pejuh       -            air mani
pekak        kakiang   kaki        -            kakek
peken        -         -           pasar        pasar
pelih        iwang     sisip       -            salah
peluh        pringet   peluh       -            keringat
pempatan     -         -           catur muka   perempatan
penék        -         -           unggah       naiki
penékang     -         -           unggahang    naikkan
                                                             72

menék       -           -          munggah       naik
pengeng     -           -          langu         pusing
perah       -           -          gegaduhan     karakter
perlu       -           -          mabuat        penting
pepes       -           -          sering        sering
pepitu      -           -          sapta         tujuh
pepusuhan -             -          pusuhan       jantung
pesan       -           -          pisan         sekali
pesisi      -           -          pesisi        pantai
pesu        medal       pesu       -             keluar
pesuang     -           -          medalang      keluarkan
petang                                           empat
            -           -          petang dasa
dasa                                             puluh
peték       -           -          wilang        hitung
peteng      -           -          wengi         malam
pialang     -           -          piambeng      halangan
piara       -           -          upapira       pelihara
pidan       -           -          dumun         dahulu
pidato      -           -          pidarta       pidato
pikang      piah        pikang     -             selapaha
pinakit     pinungkan   pinengkaon -             penyakit
pindo       -           -          ping kalih    dua kali
ping telu   -           -          ping tiga     tiga kali
pinget      -           -          sawén         petanda
pingsan     kantum      pingsan    -             pinsan
                                                            73

pipi         pangrasan   pipi   -             pipi
pipis        -           -      jinah         uang
pis, pipis   -           -      jinah         uang
                                              tujuh
pitu         -           -      sapta
                                              tujuh belas
pitulas      -           -      pitulas
                                              duapulu
pitulikur    -           -      pitulikur
                                              tujuh
pitungdasa   -           -      pitung dasa   tujuh puluh
pitutur      -           -      piteket       nasihat
plajahan     -           -      ajah-ajah     pelajaran
poh          -           -      getas         mangga
polo         untek       polo   -             otak
pongah       -           -      langgana      tabah
pragat       -           -      puput         selesai
prajani      -           -      pramangkin    seketika
prakanggo -              -      prakanggé     sesepuh
prau         -           -      baita         prahu
préksa       -           -      turéksa       periksa
prekara      -           -      wicara        perkara
pucung       -           -      botol         botol
puek         -           -      kutek         keruh
puik         -           -      purik         purik
puja         -           -      siwi          puja
mamuja       -           -      nyiwi         memuja
pula         -           -      tandur        tanam
                                                       74

mamula      -       -       nandur       menanam
punduh      -       -       pupul        kumpul
punduhang   -       -       pupulang     kumpulkan
mapunduh    -       -       mapupul      berkumpul
pungsed     pusar   udel    -            pusar
punya       -       -       wit          pohon
punyah      -       -       moho         mabuk
mamunyah    -       -       mamoho       mabukan
pupur       -       -       lepa         bedak
mapupur     -       -       malepa       bedakan
pusung      -       -       sanggul      sanggul
mapusung    -       -       masanggul    masaggul
putih       -       -       petak        putih
putihan     -       -       petakan      lebih putih
mamutih     -       -       sarwapetak   semua putih
putus       -       -       rarem        putus
putusan     -       -       pararem      keputusan
puun        -       -       geseng       terbakar
raab        -       -       kereb        atap
maraab      -       -       makereb      beratap
raga        angga   déwék   -            diri
rahayu      -       -       rahajeng     selamat
raja        -       -       nata         raja
raksasa     -       -       détia        raksasa
rama        -       -       lingsir      tua
                                                                  75

rerama      -          -             lelingsir       orang tua
ramé        -          -             ramia           ramai
raos        baos,      pajar, atur   -               bicara
ngraos      mabaos     mapajar       -               berbicara
raos        -          -             sembrama        kata
panamiu     -          -             wecana          sambutan
rarud       -          -             ngungsi         mengungsi
rasa        -          -             rasa            rasa
marasa      -          -             marasa          merasa
rata        -          -             asat            rata
réh         santukan   duaning       -               sebab
répot       -          -             épot            sibuk
rérén       -          -             rarian          henti
marérén     -          -             mararian        berhenti
repotin     -          -             sadokang        laporkan
renget      acreng     marenget      -               berkarisma
rengka      -          -             angop           rakus
resep,                               midep,          resap,
            -          -
ngresepin                            ngincepin       meresapi
regeh       -          -             bodri           tidak ramah
ringkes     -          -             tingkes         ringkas
ririgan     -          -             jajaran         deretan
roang       -          -             kanti, suitra   teman
roko        -          -             lanjaran        rokok
rungu       -          -             renga           perhatian
                                                              76

runtut        -          -        dulur         beserta
rurung        -          -        margi         jalan
sa            -          -        siki          satu
saa           -          -        mantra        mantra Bali
saab          -          -        tudung saji   tutup sajian
saat          -          -        pisereng      sangat ingin
sabatek       -          -        sawatek       segala
sabilang      -          -        satunggil     setiap
sabo          -          -        sawo          sawo
sabuk         papetet    sabuk    -             sabuk
sadin         -          -        gega          gugu
saget         -          -        pradé, pét    andaikan
sah           -          -        manggeh       sah
sahasa        -          -        sagrehan      serentak
sagi          pisuguh    sagi     -             hidang
saih          -          -        sumaih        mirip
sai-sesai     -          -        sering        sering
saja          -          -        wiakti        benar
sakancan      sananing   saluir   -             sgala suatu
saksi         -          -        upasaksi      saksi
sakti         -          -        wisésa        sakti
sakuangné -              -        sakirangné    sekurangnya
salah         iwang      salit    -             salah
salah tampi   -          -        salit arsa    tersinggung
salin         -          -        gentos        ganti
                                                            77

masalin     -          -       magentos      berganti
saluk       -          -       anggén        kenakan
sambat      -          -       nikang        sebut
sambel      -          -       mosa          sambal
sambil      -          -       sinambi       sambil
sambung     -          -       antun         sambung
sambut,     -          -       sanggra       sapa
nyambut     -          -       nyanggra      menyapa
sampat      -          -       sapuh         sapu
sampi       -          -       banténg       sapi
samping     -          -       sisi          pinggir
sandikaon   -          -       sandikala     senjakala
sanggah     -          -       pamrajan      pura rumah
sanggup     -          -       misadia       sanggup
sangkal     -          -       dados         mengapa
sangkala    -          -       mawinan       sehingga
sanget      -          -       banget        sangat
sangih      -          -       tatah         asah
sangkep     -          -       parum         rapat
sangsaya    -          -       sumenya       curiga
sanja       -          -       sandé, soré   sore
saput       -          -       kampuh        kampuh
sarat       pisereng   kedeh   -             ingin sekali
saru        -          -       singid        saru, samar
sasubané    -          -       sasampun      sesudah
                                                                   78

satak        -          -             satak         dua ratus
satak                                 satak         duaratus
             -          -
besik                                 siki          satu
satak        -          -             satak         duaratus
saté         -          -             jatah         sate
satia        -          -             susatia       setia
satmaka      -          -             waluya        bagaikan
satondén     -          -             sadurung      sebelum
satua        -          -             carita        cerita
satus besik -           -             satus siki    seratus satu
satus dua    -          -             satus kalih   seratus dua
satus telu   -          -             satus tiga    seratus tiga
saud         -          -             iwang         salah
saud                                  iwang         salah
             -          -
munyi                                 ngraos        bicara
saung        -          -             urangka       sarung
saut         -          -             saur, cawis   jawab
pasaut       -          -             cawisan       jawaban
masaut       -          -             nyawis        menjawab
sawireh      santukan   duaning       -             sebab
sayang       bhakti     asih/tresna   -             sayang
séh          -          -             gentos        ganti
sebel        -          -             cuntaka       kotor, najis
sebeng,      -          -             semita        raut wajah
nyebeng      -          -             nyebeng       sinis
                                                        79

sedek      -         -        risedek      ketika
sedeng     -         -        sandang      pantas
sedia      -         -        tragia       siap sedia
sebeng     swabawa   semita   -            raut wajah
sebet      sungsut   sedih    -            sedih
seduk      lué       seduk    -            lapar
seger      kénak     waras    -            sehat
semu       semita    semu     -            raut wajah
setuju     -         -        cumpu        setuju
sia        -         -        sanga        sembilan
siadasa    -         -        siadasa      sbilan puluh
siap       -         -        ayam         ayam
siarang    -         -        sobyahang    umumkan
siat       -         -        yuda, rana   perang
sibak      -         -        siwak        belah
sid, sig   -         -        ring         di, pada
siep       -         -        meneng       diam
siku       kona      siku     -            siku
silih      -         -        selang       pinjam
nyilih     -         -        nyelang      meminjam
silum      -         -        nyuti rupa   ubah wujud
sima       -         -        dresta       kebiasaan
simbuh     -         -        sembur       sembur
simpen     -         -        sineb        simpan
sinah      -         -        janten       pasti
                                                              80

sinduk      -          -         séndok        sendok
sing        -          -         nénten        tak, tidak
singa       -          -         késari        singa
singgah     -          -         simpang       mampir
sipah       apitan     sipah     -             ketek
sisa        -          -         sésa          sisa
sisi        -          -         jaba          luar
siu         -          -         séwu          seribu
sobaya      -          -         semaya        janji
somah       rabi       kurenan   -             suami/istri
soroh       -          -         wangsa        bangsa
suah        -          -         suri, serit   sisir
suargan     -          -         suargaloka    sorga
suba        -          -         sampun        sudah
subeng      -          -         sengkang      subang
sugi        raup       sugi      -             cuci muka
suka        lédang     gargita   -             suka
sukeh       -          -         méweh         sukar, sulit
sulur       -          -         indik         persoalan
