                              BAB III
             KAMUS ANGGAH-UNGGUH KRUNA
                        BALI – INDONESIA


       Berikut akan disajikan kosakata bahasa Bali lengkap dengan
anggah-ungguh kruna serta padanannya dalam bahasa Indonesia.
Pada kolom satu ditulis kruna andap (biasa), pada kolom dua ditulis
kruna alus singgih (jika ada), pada kolom tiga ditulis kruna alus sor
(kalau ada), pada kolom empat ditulis kruna alus mider (jika bentuk
alusnya hanya satu) atau ditulis kruna mider (jika kata-kata tersebut
tidak memiliki bentuk halus). Selanjutnya, pada kolom lima ditulis
kata bahasa Indonesianya.

 Kt.Andap    Kata Asi     Kata Aso      Ami/Mider      Kata BI
alag-élég   -       -      alag-élég     bergerak
alah        -       -      kadi          bagai
alal        -       -      sué           lama
alang       -       -      ambeng        halang
alangan     -       -      piambeng      halangan
alap        -       -      petik         petik
ngalap      -       -      metik         memetik
alas        -       -      wana          hutan
alasan      -       -      alasan        alasan
aled        -       -      taledan       alas
alep        -       -      sadu          polos
alih        -       -      rereh         cari
alihang     -       -      rerehang      carikan
alihin      -       -      rerehin       carii
alik/ngalik -       -      luhur         amat tinggi
alikan      -       -      alikan        takdir
alikan      -       -      aab           perubahan
alim        -       -      sadudarma     sikap tenang
aling       -       -      aling         halang
aling-2     -       -      aling-aling   penghalang
alis        wimba   alis   -             alis
alub        -       -      alub          serbak
ngalub      -       -      ngalub        semerbak
                                                         28

aluh        -          -       dangan      gampang
aluhan      -          -       danganan    gampangan
alum        -          -       alum        pramateng
alun-alun   -          -       alun-alun   lapangan
alur        -          -       embah       alir
ngalur      -          -       membah      mengalir
alpaka      -          -       alpaka      tidak taat
alpayusa    -          -       alpayusa    pendek umur

amah        rayunang   ajeng   -           pakan
ngamah      -          -       ngajeng     makan
amal        -          -       punia       amal
ngamal      -          -       ngamal      ngebar
amam        -          -       amam        agak sepi
aman        -          -       trepti      aman
amanang     -          -       terptiang   amankan
ambal       -          -       ambal       lapis
ambalin     -          -       ambalin     lapisi
ambalan     -          -       ambalan     lapisan
ambara      -          -       akasa       udara
ambed       -          -       sesenteng   selendang
ambén       -          -       ambén       serambi
ambengan    -          -       warikusa    ilalang
ambiar      -          -       ambiar      jejer
ngambiar    -          -       ngambiar    berjejer
ambis       -          -       ambis       tarik paksa
                                            29

ngambis    -   -   ngambis    narik paksa
amber      -   -   amber      palu besar
ngamber    -   -   ngamber    melempar
ambuh      -   -   kramas     kramas
mambuh     -   -   makramas   berkramas
ambun      -   -   jlada      awan
ngambun    -   -   ngambun    mengawan
ambles     -   -   telas      habis
ambrés     -   -   ambrés     bentak
ngambrés   -   -   ngambrés   membentak
ambuati    -   -   tumuati    cacing tanah
ambunan    -   -   ambunan    mata rabun
amerta     -   -   amerta     kekal
amik       -   -   amik       camil
amikan     -   -   amikan     camilan
amis       -   -   amis       mengecil
amiug      -   -   amiug      tersebar luas
among      -   -   among      pelihara
ngamong    -   -   ngamong    memelihara
amoné      -   -   amuniki    sebegini
amonto     -   -   amunika    sebegitu
ampag      -   -   ampag      hamil tua
ampah      -   -   ampah      ceroboh
ampak      -   -   ampak      buka
ampas      -   -   ampas      sisa/limbah
                                             30

ampat      -   -   ampat       hambat
ampatan    -   -   ampatan     hambatan
ampatan    -   -   ampatan     ragu-ragu
ampeg      -   -   ampeg       sentak
ampegang   -   -   ampegang    sentakkan
ampeh      -   -   tempuh      tiup
ampehang   -   -   tempuhang   tertiup
ampel      -   -   ampel       kumpul
ngampel    -   -   ngampel     mengumpul
ampen      -   -   ampen       tali benang
ampig      -   -   ampig       sentak
ampigang   -   -   ampigang    sentakkan
ampih      -   -   ampih       sisih
ampihang   -   -   ampihang    sisihkan
ampin      -   -   ampin       susun
ampis      -   -   ampis       tipis
amplas     -   -   amplas      amplas
amplop     -   -   amplop      sampul surat
amprag     -   -   amprag      gertak
ngamprag   -   -   ngamprag    menggertak
amput      -   -   amput       kibas
amputang   -   -   amputang    kibaskan
amuh       -   -   amuh        lapuk
amuk       -   -   amuk        amuk
ngamuk     -   -   ngamuk      mengamuk
                                                           31

amul       -          -          yening       kalau
amung      -          -          samatra      sekadar
amunapa    -          -          amunapi      seberapa
anak       -          -          jadma        orang
ancak      -          -          ancak        pohon ancak
ancaran    -          -          ancaran      anak panah
ancat      -          -          ancan        panggang
anceng     -          -          anceng       patok
ancengan   -          -          ancengan     patokan
kaanceng   -          -          kaanceng     dipatok
anci       -          -          anci         lipstik
maanci     -          -          maanci       melipstik
andus      -          -          asep         asap
maandus    -          -          ngasep       berandus
ané        -          -          sané         yang
anggo      -          -          anggo        pakai
ngango     -          -          ngangon      memakai
angin      -          -          bayu         angin
anginan    -          -          anginan      tertiup angin
angkih     angsengan angkihan    -            nafas
ngangkih   nganseng   ngangkih   -            ngos-ngosan
angsa      -          -          soan         angsa
anteng     -          -          jemet        rajin
maanteng   -          -          maselémpot   berselempot
antos      -          -          jantos       tunggu
                                                    32

antosina    -       -      kajantos     ditunggu
ngantos     -       -      nyantos      menunggu
aon         -       -      awon         awon
apa         -       -      napi         apa
apa ké      -       -      napi ké      apakah
apabuin     -       -      napimalih    apalagi
apateluan   -       -      apahtigan    sepertiga
apan        -       -      duaning      karena
mapan       -       -      santukan     karena
apang       -       -      mangda       agar
apanga      -       -      mangdané     supaya
api         -       -      geni         api
ngapi       -       -      kadi geni    bagai api
arep        ajeng   arep   -            depan
arepin      -       -      arepin       hadapi
arti        -       -      artos        arti
marti       -       -      martos       berarti
ngartiang   -       -      ngartos      mengartikan
asa         -       -      rasa         rasa
marasa      -       -      rumasa       merasa
dirasakan   -       -      karasayang   dirasakan
asal        -       -      wit          asal
asén        -       -      rasayang     rasakan
asil        -       -      pikolih      hasil
maasil      -       -      mapikolih    berhasil
                                                          33

asilné      -        -         pikolihné    hasilnya
atag        -        -         atag         tangtang
ngatag      -        -         ngatag       menantang
atep        -        -         kerep        rapat
ngratep     -        -         ngratep      nyambung
ati         angen    ati       -            hati
atma        -        -         jiwatma      atma/roh
atmané      -        -         jiwatmané    rohnya
aturan      -        -         punia        persembahan

awai        -        -         arahina      sehari
ngawai      -        -         ngrahina     setiap hari
sawai-wai   -        -         sarahinan    seharian
awak        angga    déwék     -            diri
mawak       mangga   madéwék   -            berposisi
awanan      -        -         mawinan      sehingga
ba          -        -         ring         di
ba duur     -        -         ring luhur   di atas
betén       -        -         ring sor     di bawah
baa         -        -         bara         bara
mabaa       -        -         mabara       berbara
baag        -        -         bang         merah
baan        olih     antuk     -            oleh
baang       icén     wéhin     -            beri
maang       ngicén   ngwehin   -            memberi
baanga      icéna    wéhina    -            diberi
                                                            34

baas        -          -         beras        beras
baasné      -          -         berasné      berasnya
baat        -          -         abot         berat
baatan      -          -         abotan       lebih berat
pabaat      -          -         pabaat       pemberat
babuan      -          -         ring luhur   di atas
badeng      -          -         ireng        hitam
badengan    -          -         irengan      lebih hitam
baged       -          -         alon         lambat
bagia       seneng     gargita   -            senang
bagus       acreng     abra      -            tampan
bagusan     acrengan   abrayan   -            tampanan
bah         -          -         rebah        rebah
ngebah      -          -         ngrebah      menebang
baju        kuaca      baju      -            baju
bakal       jagi       pacang    -            akan
bakat       -          -         keniang      dapatkan
bakatanga   -          -         kakeniang    didapat
makatang               -         ngeniang     mendapatkan

bala        wadua      panjak    -            tentara
balang      -          -         walang       belalang
bales       -          -         deres        deras
malesan     -          -         neresan      makin deras
bales       -          -         wales        balas
males       -          -         ngwales      membalas
                                                           35

balesa      -          -           kawales    dibalas
balih       -          -           tonton     tonton
mabalih     -          -           nonton     menonton
pabaliha    -          -           katonton   ditonton
balik       -          -           walik      balik
mabalik     -          -           mawali     berbalik
balu        -          -           walu       duda/janda

balung      -          -           walung     tulang
banban      -          -           alon       pelan
banding     -          -           imbang     banding
baneh       -          -           barén      umpan
banén       -          -           sadurung   sebelum
bangka      séda       padem       -          mati
bangkang    sédang     pademang    -          bunuh
bangké      -          -           wangké     mayat
bangras     -          -           wirosa     bengis
bangun      -          -           wangun     bentuk
nangun      -          -           ngwangun   membangun
bangun      matangi    bangun      -          bangun
bangunin    tangiang   bangunang   -          bangunkan
bani        -          -           purun      berani
banten      -          -           wangi      sesajen
bantenang   -          -           aturang    haturkan
bantes      -          -           sawatara   sekitar
banyu       -          -           langsuan   air cucian
                                                              36

mabanyu     mawarih     manyuh       -            ngenceh
baong       kanta       baong        -            leher
baongné     kantané     baongné      -            lehernya
bapa        aji/ajung   bapa         -            ayah
bapané      ajinné      bapanné      -            ayahnya
barak       -           -            bang         merah
mamarak     -           -            mamarak      merah semua

bareng      -           -            sareng       ikut
barengan    -           -            sinarengan   bersamaan
basa        baos        atur/pajar   -            bahasa
mabasa      mabaos      matur,       -            berbicara
mabasa      ngandika    mapajar      -            berbahasa
basang      garba       waduk        -            perut
basangné    garbanné    wadukné      -            perutnya
baseh       wangsuh     wajik        -            cuci
basehin     wangsuhin   wajikin      -            dicuci
bates       -           -            wates        batas
batesin     -           -            watesin      batasi
batis       cokor       buntut       -            kaki
batisné     cokorné     buntutné     -            kakinya
batu        -           -            watu         batu
mabatu      -           -            mawatu       berbatu
batusalak   slatengan   batunsalak   -            lekun
bawak       -           -            cendek       pendek
bawakan     -           -            cendekan     pendekan
                                                        37

bawang     -         -       jasun        bawang
                                          merah
baya       -         -       cala         bencana
bayah      -         -       taur         bayar
mayah      -         -       naur         membayar
bayu       -         -       prana        tenaga
bayuné     -         -       pranané      tenaganya
bé         -         -       ulam         ikan
béné       -         -       ulamé        ikannya
mabé       -         -       maulam       berisi ikan
béa        -         -       bia          biaya
prabéa     -         -       prabéa       pembiayaan
bébék      -         -       andara       itik
becat      -         -       gelis        cepat
becatin    -         -       gelisin      cepati
bedak      kasatan   bedak   -            haus
bedik      -         -       akidik       sedikit
bedikan    -         -       kidikan      sedikitan
bedikang   -         -       kidikang     sedikitkan
begeh      -         -       akéh         banyak
bek        -         -       ibek/sarat   penuh
bekel      -         -       sangu        bekal
mekelin    -         -       nyanguin     membekali
belas      -         -       pasah        pisah
belasang   -         -       pasahang     pisahkan
                                                             38

belat      -          -          wates          sela/batas
belatin    -          -          watesin        batasi
melatin    -          -          ngwatesin      membatasi
beli       -          -          tumbas         beli
meli       -          -          numbas         membeli
meliang    -          -          numbasang      membelikan
beling     mobot      abot       -              hamil
melingin   mobotin    ngabotin   -              menghamili
belog      -          -          tambet         bodoh
belogan    -          -          tambetan       lebih bodoh
benang     -          -          lawé           benang
bendahara -           -          patengen       bendahara
beneh      -          -          patut          benar
benehin    -          -          patutin        benari
benehang   -          -          patutang       benarkan
bengong    -          -          angob          heran
berag      kéris      berag      -              kurus
beragan    kérisan    beragan    -              kurusan
meragan    ngérisan   meragan    -              makin kurus
berem      -          -          kanca          air tape
bes        -          -          lintang        lebih
besbes     -          -          kalintang      berlebihan
besik      -          -          siki/tunggil   satu
besikang   -          -          sikiang        satukan
betén      -          -          ring sor       di bawah
                                                            39

beténan    -          -         ring soran    di bawahan
betek      waneh      wareg     -             kenyang
betekan    wanehan    waregan   -             kenyangan
betekan    langsang   betekan   -             betis
batis                 batis
biasa      -          -         biasa         biasa
biasang    -          -         biasang       biasakan
bibih      lambé      bibih     -             bibir
bibihné    lambéné    bibihné   -             bibirnya
bibit      -          -         winih/wit     benih/bibit
bidang     -          -         widang        bidang
bin/buin   -          -         malih         lagi
bija       -          -         wija          biji
mabija     -          -         mawija        berbiji
bikas      -          -         parisolah     perilaku
bikul      -          -         jeroketut     tikus
bingin     -          -         wandira       beringin
binmani    -          -         bénjang       besok
binpuan    -          -         malih kalih   dua hari
                                rahina        lagi
bintelun   -          -         mlih tigang   tiga hari
                                rahina        lagi
bisa       -          -         midep         bisa
biu        -          -         pisang        pisang
blabar     -          -         blabur        banjir
blibis     -          -         drawata       blibis
                                                         40

bobab      -          -        adua/linyok   sombong
bogolan    -          -        bebandan      terpidana
bojog      -          -        wenara        kera
bok        -          -        rambut        rambut
mabok      -          -        marambut      berambut
bokong     wangkong   bokong   -             pinggul
bontok     -          -        cendek        pendek
bontokan   -          -        cendekan      pendekan
borbor     -          -        geseng        bakar
morbor     -          -        ngeseng       membakar
boréh      -          -        odak          lulur
maboréh    -          -        maodak        berlulur
braya      sameton    nyama    -             keluarga
mabraya    -          -        -             bersukaduka
buah       -          -        woh           buah
mabuah     -          -        mawoh         berbuah
buang      -          -        kasmaran      birahi
bubuh      -          -        gendar        bubur
mubuh      -          -        ngendar       masak bubur

budi       arsa       manah    -             pikiran
mabudi     kayun      -        ngarsayang    berharap
buduh      -          -        édan          gila

buin       -          -        malih         lagi
buina      -          -        samaliha      Lagi pula
buka       -          -        kadi/luir     bagai
                                                            41

buku       -           -          pustaka      buku
bulan      -           -          wulan        bulan
bulu       -           -          retih        bulu
buluan     -           -          rambutan     rambutan
bulunmata -            -          ringring     bulu mata
bunbun     -           -          pupul        kumpul
bunga      -           -          sekar        bunga
bungang    -           -          sakarang     bungakan
bungkung   ali-ali     bungkung   -            cincin
bungkul    -           -          wiji         butir
bungsil    -           -          biluk        bungsil
bungut     -           -          cangkem      mulut
buron      -           -          sato/prani   binatang
busan      -           -          diwawu       tadi
busung     -           -          janur        janur
butuh      panta       butuh      -            buahpetir
buung      -           -          wangdé       batal
buyung     -           -          laler        lalat
cacad      -           -          céda/mala    cela/cacat
cadik      lelénték    cadik      -            dagu
cai        ratu, ida   -          ida-dané     anda
cager      -           -          umandel      handal
capat      -           -          sapa         sapa
cara       -           -          luir/kadi    bagai
caratan    -           -          cecepan      ceretan
                                                42

caru     -       -        tawur     korban
caya     -       -        téja      cahaya
celang   -       -        tiaksa    cermat
celak    purus   celak    -         lolok
celep    -       -        ranjing   masuk
céléng   -       -        bawi      babi
cenik    -       -        alit      kecil
cepok    -       -        apisan    sekali
cepuk    -       -        pangguh   temu
cerik    -       -        alit      cenik
cetik    -       -        wisia     racun
cicing   -       -        asu       anjing
cikar    -       -        kreta     kereta
ciri     -       -        cihna     ciri
cobak    -       -        inayang   coba
colok    -       -        korék     korék api
coong    -       -        ucém      pucat
conto    -       -        imba      contoh
corah    -       -        dusta     jahat
cucu     putu    cucu     -         cucu
cunguh   irung   cunguh   -         hidung
cupit    -       -        kosek     sempit
cutet    -       -        cendek    singkat
daar     rayun   ajeng    -         pakan
dabdab   -       -        banban    pelan
                                                         43

dadalan    -          -         wiwilan     penyabab
dadi       -          -         dados       mjadi
dadong     niang      mbah      -           nenek
dadua      -          -         kekalih     dua
daja       -          -         baler       utara
das        -          -         tambis      hampir
dasatali   -          -         alaksa      puluh ribu
dawa       -          -         panjang     panjang
daya       -          -         winaya      tipu
dedaaran   rayunan    ajengan   -           makanan
dedari     -          -         widiadari   bidadari
degdeg     -          -         trepti      aman
demen      seneng     gargita   -           senang
depin      -          -         bangyang    biarkan
Di         -          -         ring        di
didian     praragan   ndéwék    -           sendiri
